churn,accountweeks,contractrenewal,dataplan,datausage,custservcalls,daymins,daycalls,monthlycharge,overagefee,roammins,accountweeks_per_contractrenewal,accountweeks_per_dataplan,accountweeks_per_datausage,accountweeks_per_custservcalls,accountweeks_per_daymins,accountweeks_per_daycalls,accountweeks_per_monthlycharge,accountweeks_per_overagefee,accountweeks_per_roammins,contractrenewal_per_dataplan,contractrenewal_per_datausage,contractrenewal_per_custservcalls,contractrenewal_per_daymins,contractrenewal_per_daycalls,contractrenewal_per_monthlycharge,contractrenewal_per_overagefee,contractrenewal_per_roammins,dataplan_per_datausage,dataplan_per_custservcalls,dataplan_per_daymins,dataplan_per_daycalls,dataplan_per_monthlycharge,dataplan_per_overagefee,dataplan_per_roammins,datausage_per_custservcalls,datausage_per_daymins,datausage_per_daycalls,datausage_per_monthlycharge,datausage_per_overagefee,datausage_per_roammins,custservcalls_per_daymins,custservcalls_per_daycalls,custservcalls_per_monthlycharge,custservcalls_per_overagefee,custservcalls_per_roammins,daymins_per_daycalls,daymins_per_monthlycharge,daymins_per_overagefee,daymins_per_roammins,daycalls_per_monthlycharge,daycalls_per_overagefee,daycalls_per_roammins,monthlycharge_per_overagefee,monthlycharge_per_roammins,overagefee_per_roammins
0,128,1,1,2.7,1,265.1,110,89.0,9.87,10.0,128.0,128.0,47.407407407407405,128.0,0.4828366654092795,1.1636363636363636,1.4382022471910112,12.968591691995949,12.8,1.0,0.37037037037037035,1.0,0.003772161448509996,0.00909090909090909,0.011235955056179775,0.10131712259371835,0.1,0.37037037037037035,1.0,0.003772161448509996,0.00909090909090909,0.011235955056179775,0.10131712259371835,0.1,2.7,0.01018483591097699,0.024545454545454547,0.030337078651685397,0.27355623100303955,0.27,0.003772161448509996,0.00909090909090909,0.011235955056179775,0.10131712259371835,0.1,2.41,2.9786516853932588,26.859169199594735,26.51,1.2359550561797752,11.144883485309018,11.0,9.017223910840933,8.9,0.9869999999999999
0,107,1,1,3.7,1,161.6,123,82.0,9.78,13.7,107.0,107.0,28.91891891891892,107.0,0.6621287128712872,0.8699186991869918,1.3048780487804879,10.940695296523518,7.81021897810219,1.0,0.27027027027027023,1.0,0.006188118811881188,0.008130081300813009,0.012195121951219513,0.10224948875255624,0.07299270072992702,0.27027027027027023,1.0,0.006188118811881188,0.008130081300813009,0.012195121951219513,0.10224948875255624,0.07299270072992702,3.7,0.0228960396039604,0.03008130081300813,0.0451219512195122,0.3783231083844581,0.27007299270072993,0.006188118811881188,0.008130081300813009,0.012195121951219513,0.10224948875255624,0.07299270072992702,1.313821138211382,1.9707317073170731,16.52351738241309,11.795620437956204,1.5,12.576687116564418,8.978102189781023,8.384458077709612,5.985401459854015,0.7138686131386861
0,137,1,0,0.0,0,243.4,114,52.0,6.06,12.2,137.0,,,,0.5628594905505341,1.2017543859649122,2.6346153846153846,22.60726072607261,11.229508196721312,,,,0.004108463434675432,0.008771929824561403,0.019230769230769232,0.16501650165016502,0.0819672131147541,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135087719298246,4.680769230769231,40.16501650165017,19.95081967213115,2.1923076923076925,18.811881188118814,9.344262295081968,8.58085808580858,4.262295081967213,0.4967213114754098
0,84,0,0,0.0,2,299.4,71,57.0,3.1,6.6,,,,42.0,0.280561122244489,1.1830985915492958,1.4736842105263157,27.096774193548388,12.727272727272728,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006680026720106881,0.028169014084507043,0.03508771929824561,0.6451612903225806,0.30303030303030304,4.2169014084507035,5.252631578947368,96.5806451612903,45.36363636363636,1.2456140350877194,22.903225806451612,10.757575757575758,18.387096774193548,8.636363636363637,0.4696969696969697
0,75,0,0,0.0,3,166.7,113,41.0,7.42,10.1,,,,25.0,0.44991001799640074,0.6637168141592921,1.829268292682927,10.107816711590296,7.425742574257426,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01799640071985603,0.02654867256637168,0.07317073170731707,0.40431266846361186,0.297029702970297,1.475221238938053,4.065853658536585,22.46630727762803,16.504950495049503,2.7560975609756095,15.229110512129381,11.18811881188119,5.525606469002695,4.0594059405940595,0.7346534653465346
0,118,0,0,0.0,0,223.4,98,57.0,11.03,6.3,,,,,0.5282005371530886,1.2040816326530612,2.0701754385964914,10.698096101541251,18.73015873015873,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279591836734694,3.9192982456140353,20.253853127833185,35.46031746031746,1.719298245614035,8.884859474161379,15.555555555555555,5.167724388032639,9.047619047619047,1.7507936507936508
0,121,1,1,2.03,3,218.2,88,87.3,17.43,7.5,121.0,121.0,59.60591133004927,40.333333333333336,0.5545371219065078,1.375,1.38602520045819,6.942053930005738,16.133333333333333,1.0,0.4926108374384237,0.3333333333333333,0.00458295142071494,0.011363636363636364,0.01145475372279496,0.05737234652897304,0.13333333333333333,0.4926108374384237,0.3333333333333333,0.00458295142071494,0.011363636363636364,0.01145475372279496,0.05737234652897304,0.13333333333333333,0.6766666666666666,0.009303391384051328,0.023068181818181818,0.023253150057273766,0.11646586345381525,0.27066666666666667,0.013748854262144823,0.03409090909090909,0.03436426116838488,0.1721170395869191,0.4,2.4795454545454545,2.4994272623138603,12.518646012621916,29.09333333333333,1.0080183276059564,5.048766494549628,11.733333333333333,5.008605851979346,11.639999999999999,2.324
0,147,0,0,0.0,0,157.0,79,36.0,5.16,7.1,,,,,0.9363057324840764,1.860759493670886,4.083333333333333,28.488372093023255,20.704225352112676,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9873417721518987,4.361111111111111,30.426356589147286,22.112676056338028,2.1944444444444446,15.310077519379844,11.126760563380282,6.976744186046512,5.070422535211268,0.7267605633802817
0,117,1,0,0.19,1,184.5,97,63.9,17.58,8.7,117.0,,615.7894736842105,117.0,0.6341463414634146,1.2061855670103092,1.8309859154929577,6.655290102389079,13.448275862068966,,5.2631578947368425,1.0,0.005420054200542005,0.010309278350515464,0.01564945226917058,0.056882821387940846,0.1149425287356322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.001029810298102981,0.001958762886597938,0.00297339593114241,0.01080773606370876,0.021839080459770118,0.005420054200542005,0.010309278350515464,0.01564945226917058,0.056882821387940846,0.1149425287356322,1.902061855670103,2.887323943661972,10.494880546075086,21.20689655172414,1.517996870109546,5.517633674630262,11.149425287356323,3.63481228668942,7.344827586206897,2.0206896551724136
0,141,0,1,3.02,0,258.6,84,93.2,11.1,11.2,,141.0,46.688741721854306,,0.5452436194895591,1.6785714285714286,1.5128755364806867,12.702702702702704,12.589285714285715,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.33112582781456956,,0.003866976024748646,0.011904761904761904,0.01072961373390558,0.0900900900900901,0.08928571428571429,,0.011678267594740912,0.03595238095238095,0.03240343347639485,0.27207207207207207,0.2696428571428572,0.0,0.0,0.0,0.0,0.0,3.0785714285714287,2.774678111587983,23.297297297297302,23.08928571428572,0.9012875536480687,7.5675675675675675,7.500000000000001,8.396396396396398,8.321428571428573,0.9910714285714286
